,City,Country,Max Temp,Lat,Lng,Hotel Name
19,Ostrovnoy,RU,20.75,68.05,39.51,
23,Severo-Kurilsk,RU,34.63,50.68,156.12,Kak Doma
56,Provideniya,RU,26.6,64.38,-173.3,
81,Yar-Sale,RU,22.6,66.83,70.83,Yalemd
136,Dzhebariki-Khaya,RU,23.05,62.22,135.8,
142,Sobolevo,RU,33.98,54.43,31.9,
259,Homer,US,39.0,59.64,-151.55,Beluga Lake Lodge
296,Lavrentiya,RU,23.0,65.58,-171.0,
318,Nome,US,23.0,64.5,-165.41,Dredge 7 Inn
364,Okhotsk,RU,21.87,59.38,143.3,
373,Kichera,RU,31.91,55.94,110.1,
379,Salmon Arm,CA,36.0,50.7,-119.3,Travelodge by Wyndham Salmon Arm
423,Khandyga,RU,22.66,62.67,135.6,Apel'sin
429,Worland,US,28.99,44.02,-107.96,Town House Motor Inn
464,Agirish,RU,25.39,61.92,63.02,
478,Kharovsk,RU,30.07,59.96,40.19,
574,Darovskoy,RU,24.12,58.77,47.96,"Hotel ""Central"""
